Customerid,Balance,Calculation_date
14,3740.29,2019-11-10T21:15:44.012
113,629.19,2019-11-10T21:15:44.014
98,1800.00,2019-11-10T21:15:44.015
107,10.00,2019-11-10T21:15:44.015
42,2200.00,2019-11-10T21:15:44.015
115,1.15,2019-11-10T21:15:44.015
36,300.00,2019-11-10T21:15:44.015
154,0.02,2019-11-10T21:15:44.016
130,167.50,2019-11-10T21:15:44.016
149,273.65,2019-11-10T21:15:44.016
37,360.00,2019-11-10T21:15:44.016
46,0.00,2019-11-10T21:15:44.016
138,67681.95,2019-11-10T21:15:44.016
2,100.00,2019-11-10T21:15:44.016
16,9.53,2019-11-10T21:15:44.017
131,501.25,2019-11-10T21:15:44.017
92,20.00,2019-11-10T21:15:44.017
170,619.49,2019-11-10T21:15:44.017
93,7.19,2019-11-10T21:15:44.017
34,0.01,2019-11-10T21:15:44.017
127,67.45,2019-11-10T21:15:44.017
28,63.29,2019-11-10T21:15:44.017
135,33.00,2019-11-10T21:15:44.018
89,100.00,2019-11-10T21:15:44.018
30,28.35,2019-11-10T21:15:44.018
182,6.11,2019-11-10T21:15:44.018
25,0.30,2019-11-10T21:15:44.018
66,198.90,2019-11-10T21:15:44.018
184,54.80,2019-11-10T21:15:44.018
148,261.30,2019-11-10T21:15:44.019
136,1500.00,2019-11-10T21:15:44.019
1,0.09,2019-11-10T21:15:44.019
77,10.00,2019-11-10T21:15:44.019
153,70.89,2019-11-10T21:15:44.019
133,0.00,2019-11-10T21:15:44.019
132,91.60,2019-11-10T21:15:44.019
150,262.20,2019-11-10T21:15:44.019
155,287.56,2019-11-10T21:15:44.020
105,3.05,2019-11-10T21:15:44.020
57,0.04,2019-11-10T21:15:44.020
47,20.00,2019-11-10T21:15:44.020
67,44.29,2019-11-10T21:15:44.020
15,339.90,2019-11-10T21:15:44.020
5,50.00,2019-11-10T21:15:44.020
48,1.60,2019-11-10T21:15:44.020
137,73.01,2019-11-10T21:15:44.021
35,113.20,2019-11-10T21:15:44.021
174,9.00,2019-11-10T21:15:44.021
90,5.00,2019-11-10T21:15:44.021
146,148.80,2019-11-10T21:15:44.021
124,21.04,2019-11-10T21:15:44.021
151,246.52,2019-11-10T21:15:44.021
55,0.04,2019-11-10T21:15:44.021
54,1334.76,2019-11-10T21:15:44.022
40,17.50,2019-11-10T21:15:44.022
31,0.04,2019-11-10T21:15:44.022
52,828.60,2019-11-10T21:15:44.022
50,1.09,2019-11-10T21:15:44.022
141,239.39,2019-11-10T21:15:44.022
26,100.00,2019-11-10T21:15:44.022
85,422.04,2019-11-10T21:15:44.022
178,0.00,2019-11-10T21:15:44.023
17,50.00,2019-11-10T21:15:44.023
78,464.45,2019-11-10T21:15:44.023
152,0.00,2019-11-10T21:15:44.025
76,100.00,2019-11-10T21:15:44.025
94,8.85,2019-11-10T21:15:44.026
38,0.20,2019-11-10T21:15:44.026
70,103.48,2019-11-10T21:15:44.026
43,15.94,2019-11-10T21:15:44.026
74,66.10,2019-11-10T21:15:44.026
95,27.76,2019-11-10T21:15:44.026
177,235.30,2019-11-10T21:15:44.027
198,0.20,2019-11-10T21:15:44.027
126,100.00,2019-11-10T21:15:44.027
194,2941.32,2019-11-10T21:15:44.027
